項番,旧項番,種別,単位,グループ,サブグループ,タスク,方法,抽出,対象（ソースコード、AST）,単位,備考,比較対象,表示形式
211,2.3.1,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,モジュール分割推奨箇所,大きすぎるモジュールや関数を特定する。単一責任の原則に基づき再設計を提案する,"対象モジュール名,分割推奨理由,分割される方法",AST,文字列,モジュールの意味が曖昧で複数の機能を持っている場合も検出する。大きすぎる、意味が多すぎるなど,モジュールサイズの基準があれば比較可能,"表形式,モジュール間の関係図"
212,2.3.2,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,ロジック最適化候補,非効率なアルゴリズムや冗長な処理を検出する。最適なアルゴリズムやデータ構造の使用例を提示する,"対象箇所,最適化提案内容,予想される性能向上効果",AST,"行番号,文字列",不要なループ、無駄なデータアクセス、非効率な条件分岐などを特定する,パフォーマンス基準やベストプラクティスが必要,"表形式,性能比較データ"
213,2.3.3,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,パフォーマンス改善ポイント,処理時間が長くなる可能性のある箇所を特定する,"改善ポイント,改善提案内容,予想される改善効果",AST,"行番号,文字列",リソース消費量の多い処理を特定する。具体的な対応,パフォーマンス要求があれば比較可能,"表形式,処理時間比較グラフ"
214,2.3.4,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,保守性向上施策,コードの可読性や保守性を向上させる提案を行う。テストカバレッジの向上やドキュメントの整備も含める,"対象箇所,提案内容,保守性向上による効果",AST,"行番号,文字列",複雑な条件式の簡素化、コメントの充実、変数名の改善などを提案する。エラー減少、開発効率向上など,保守性に関するガイドラインが必要,"テキスト記述,表形式"
215,2.3.5,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,共通化推奨処理,重複している処理を特定し、共通モジュール化を提案する,"重複処理箇所,共通化提案内容,共通化のメリット,共通化によるコード削減率",AST,"行番号,文字列,%",共通処理の抽出によりメンテナンス性向上、バグ修正の一元化などが期待できる,コードの再利用性に関するガイドラインが必要,"表形式,コード比較表"
216,3.1.1,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,総行数(LOC),ソースコード全体の行数をカウントする。各セクション毎の行数内訳を集計する,"総行数,セクション行数内訳",コードファイル、AST,行,各DIVISION、SECTION毎の行数を取得,,"テキスト記述,グラフ(棒グラフ),表形式"
217,3.1.2,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,実行行数,コメント行や空行を除いた実行行数をカウントする。COPY文やマクロの展開結果も考慮して算出する,"実行行数,実行行数の割合",AST,"行,%",ASTを利用して実行可能なコード要素を正確に抽出する,,"テキスト記述,グラフ"
218,3.1.3,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,コメント行数,コメント行の数をカウントする。コメントの種類を解析する。コメント内容が最新のコード状態と一致しているかを評価する,"コメント行数,コメント率,コメント種類別行数",コードファイル,"行,%",ヘッダー、インライン、ブロックなどコメントの種類を分類,,"テキスト記述,グラフ"
219,3.2.1,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,サイクロマティック複雑度,プログラムの制御フローを解析する。エラーハンドリングの流れを組み込む,"サイクロマティック複雑度,フロー説明,処理ブロック詳細",AST,"数値,文字列",各パラグラフやセクションの関係性、制御構造を解析する,,グラフ(フローチャート)
220,3.2.2,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,制御フロー複雑度,条件分岐やループのネスト深度を解析する。ネストが深すぎる箇所を特定する,"最大ネスト深度,平均ネスト深度,ネスト深度分布",AST,"レベル数,レベル数,データ構造",ASTを利用してネスト構造を正確に追跡する,ネスト深度の許容範囲が定められている場合比較する,"テキスト記述,グラフ"
221,3.2.3,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,保守性指標,Halsteadメトリクス、Maintainability Indexを計算する。保守性の評価を行う,"Halsteadメトリクス,保守性スコア,保守性評価",AST,"数値,数値,文字列",演算子とオペランドの総数と種類を計算。複雑度、行数、コメント率などを組み合わせて算出。高い、平均、低い,,"グラフ(レーダーチャート),表形式"
222,3.3.1,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,コードカバレッジ,ステートメントカバレッジを計算する。各カバレッジ指標の詳細を計算する。未カバー箇所を特定する,"カバレッジ率,カバレッジ詳細値,未カバー箇所一覧",AST,"%,文字列,行番号",単体テストや総合テストの結果を用いてコードの実行カバレッジを計算する。ステートメント、ブランチ、パスカバレッジなど,カバレッジ率の目標値があれば比較する,"グラフ(棒グラフ,パイチャート),コードカバレッジマップ"
223,3.3.2,ドキュメント,単一,コード品質・保守性・最適化・規約順守関連,,重複コード率,コードの類似性を解析する。重複箇所を特定する。重複コードの類似度を評価する,"重複コード率,重複箇所数,重複コードの種類",AST,"%,件,文字列",コードクローン検出ツールを使用し、類似度の高いコードブロックを特定する。完全一致、部分一致,重複コード率の許容範囲があれば比較する,グラフ(棒グラフ)
